Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Year,Founded,Founders,Investor,Subsector
HyperXchange,E-Commerce,Series A,13000.0,Pune,hyperXchange is India's fastest growing O2O marketplace for premium refurb gadgets,2018,,,," Mobile, Sharing Economy"
Doodhwala,Food Delivery,Seed,28600.0,Bangalore,Doodhwala is an online milk delivery startup that offers over 70 varieties of milk along with a plan based on clients' requirement.,2018,,,," Organic, Organic Food"
DronaHQ,Mobile,Angel,6500.0,Mumbai,DronaHQ is an enterprise mobile engagement platform.,2018,,,,
FastFox,Rental,Series A,1300000.0,Gurugram,FastFox: Market Network for Home Rentals (India),2018,,,,
BuyForexOnline,Travel,https://docs.google.com/spreadsheets/d/1x9ziNeaz6auNChIHnMI8U6kS7knTr3byy_YBGfQaoUA/edit#gid=1861303593,26000.0,Bangalore,BuyForexOnline.com is India's first completely online provider for buying Foreign Exchange.,2018,,,,
Colive.in,Consumer,Seed,23400.0,Bangalore,A technology powered network of Branded Serviced Homes conveniently located near educational institutions & workplaces.,2018,,,,
Agricxlab Private Limited,B2B,Seed,6500.0,Thane,Online marketplace where farmers and traders can sell their produce to B2B buyers,2018,,,," Farming, Marketplace"
Fincash.com,Wealth Management,Seed,1950.0,Mumbai,A startup in the personal finance space in India .,2018,,,,
Pandorum Technologies,Biotechnology,Series A,46800.0,Bangalore,Bengaluru based biotech startup.,2018,,,,
Shirsa Labs,EdTech,Seed,6500.0,Mumbai,Shirsa Labs is a cognitive skill assessment and training portal that provides children with fun educational games.,2018,,,," Gaming, Training"
PetSutra,Veterinary,Seed,123500.0,Gurugram,Gurugram-based Online petcare platform.,2018,,,,
PinkBlue,HealthTech,Seed,3900.0,Bangalore,PinkBlue.in - Super-efficient supply-chain for clinical supplies,2018,,,," Hospital, Supply Chain Management"
Eduvanz,FinTech,Angel,6500.0,Mumbai,"Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.",2018,,,, Financial Services
Rupeek,FinTech,Series A,88790.0,Bangalore,Rupeek is an asset backed online lending platform currently operating in the space of Gold loans.,2018,,,, Lending
Backpacker Panda Holidays Private Limited,Tourism,Series A,18200.0,Pune,Backpacker Panda is creating an ecosystem for youth accommodation and travel.,2018,,,, Travel
Shape (School Health and Physical Education),EdTech,Seed,2600.0,Pune,Physical education start up,2018,,,,
Placio,Hospitality,Seed,26000.0,Noida,Placio is a student housing and a complete broker-free platform.,2018,,,, Real Estate
Aviom India Housing Finance,FinTech,Series A,1950000.0,Delhi,Delhi based housing finance company.,2018,,,,
HeyHolidays,Tourism,Seed,13000.0,Bangalore,"HeyHolidays, a global player in online vacation rentals.",2018,,,, Travel
Pratilipi,Media,Series A,55900.0,Bangalore,Amazon's Kindle Direct Publishing for Indian Languages,2018,,,," EBooks, Publishing, Reading Apps"
Silversparro Technologies Pvt. Ltd,Analytics,Seed,3900.0,Gurugram,Silversparro is a deep learning technology solution provider.,2018,,,," Computer Vision, Enterprise Software, Machine Learning, Natural Language Processing, Speech Recognition"
Emflux Motors,Automotive,Seed,4742.998,Bangalore,Emflux Motors is committed to bring clean and sustainable energy into a state of universal acceptance through technological innovation.,2018,,,," Electric Vehicle, Energy"
Tricog Health Services Pvt Ltd,HealthTech,Series A,52000.0,Bangalore,Predictive Healthcare Analytics Company,2018,,,," Health Diagnostics, Predictive Analytics"
Scapic,Cloud Computing,Seed,6500.0,Bangalore,Virtual/Augmented Reality Start Up .,2018,,,," Computer, SaaS, Software"
6Degree,Fashion,Seed,5200.0,Mumbai,A fashion enterprise that provides a launchpad to fashion talent and brands using a tech enabled platform,2018,,,," Lifestyle, Retail"
Ekincare,Medical,Series A,19500.0,Hyderabad,EKincare empowers you to take charge of your health by enabling you to monitor critical medical info and make it available anywhere.,2018,,,,
Groww,FinTech,Seed,1560.0,"Kormangala, Karnataka, India",Groww offers a new way of investing money.,2018,,,," Impact Investing, Internet"
Cell Propulsion,Undisclosed,Seed,91000.0,Bangalore,Cell Propulsion is an electric mobility startup that designs autonomous electric vehicles.,2018,,,,
Chezuba,Tech,Angel,18200.0,Hyderabad,Chezuba is a web-based platform enabling skilled professionals to volunteer online with Non-profits worldwide,2018,,,, Social Entrepreneurship
Wealthtrust,FinTech,Seed,6500.0,Mumbai,Wealthtrust offers a wealth manager application that enables its users to invest and manage their investments online.,2018,,,," Impact Investing, Mobile Apps"
Awign Enterprises,Business Development,Seed,650000.0,Bangalore,Operations and manpower outsourcing startup,2018,,,," Market Research, Outsourcing"
Hubhopper,Tech,Series A,6500.0,Delhi,Get your daily dose of interest as summaries from news and magazine stories .,2018,,,," Social News, Sports"
Rubix108 Technologies,InfoTech & Services,Seed,13000.0,Pune,Rubix Total App makes it effortless for Institutes to send home important information and updates about the day’s learning experiences.,2018,,,,
Workflexi,Human Resources,Seed,130000.0,Bangalore,"Be Smart, Work on Contract,Be Smart, Hire on Contract",2018,,,,
Streak,FinTech,Seed,292500.0,Bangalore,Algorithmic trading platform.,2018,,,,
Kuants,FinTech,Seed,65000.0,Gurugram,Algorithmic trading platform.,2018,,,,
NiYO Solutions,FinTech,Series A,171600.0,Bangalore,NiYO is a fintech company that helps salaried employees access company benefits and other financial services.,2018,,,," Financial Services, FinTech"
Simulanis,Training,Seed,6500.0,Delhi,A Delhi-based Augmented Reality and Virtual Reality technology development company.,2018,,,,
MY CHIRAAG CAB,Travel,Seed,13000.0,Jaipur,MY CHIRAAG CAB SERVICES PVT LTD,2018,,,,
Flathalt,Undisclosed,Angel,650.0,Gurugram,FInd your Customized Home here.,2018,,,,
True Elements,Dietary Supplements,Seed,650000.0,Pune,True elements offers a range of high-quality snacks and supplements that are inspired by natural foods consumed by our ancestors.,2018,,,," Food and Beverage, Health Care, Organic Food, Snack Food"
Trendlyne Technologies,FinTech,Seed,2600.0,Bangalore,Trendlyne Technologies is a stock market analytics platform and marketplace for retail investors.,2018,,,,
Planys Technologies,Manufacturing,Series A,1822600.0,Chennai,Planys Technologies is India’s first and only manufacturer of compact ROVs providing underwater robotic inspection and survey solutions.,2018,,,," Oil and Gas, Robotics"
HealthPlix,Fitness,Series A,39000.0,Bangalore,HealthPlix is a healthtech startup,2018,,,," Health Care, Wellness"
dishq,Undisclosed,Seed,5200.0,Bangalore,dishq leverages food science and machine learning (AI) to understand and predict people's tastes.,2018,,,,
Entropik Technology,AI,Seed,14300.0,Bangalore,The boundaries between Human and Machines are shrinking fast.,2018,,,," Computer, Machine Learning"
myHQ,Collaboration,Series A,6500.0,Delhi,myHQ turns your everyday coffee space into a perfect work zone. Get an amazing work environment without paying any rent.,2018,,,," Communities, Coworking, Sharing Economy"
Trell,Undisclosed,Seed,16250.0,Bangalore,Trell is a location based network which helps you in exploring amazing experiences and annotating places around you.,2018,,,,
Kidovators (by GyanLab),Big Data,Seed,2340.0,Bangalore,Building future human capital through 21st Century Skills programs for K-12,2018,,,," EdTech, Machine Learning"
Log 9 Materials,Nanotechnology,Seed,390000.0,"Uttar Pradesh, India, Asia",Log 9 Materials is a nano-materials manufacturing and RnD startup,2018,,,,
VTION,Analytics,Seed,249600.0,Gurugram,VTION is a media technology innovation firm aiming to solve key problems in the media based ecosystem.,2018,,,," Audio, Digital Media, Innovation Management, Internet Radio, Media and Entertainment"
HousingMan.com,Undisclosed,Seed,1339000.0,Bangalore,"New Apartments, Flats for Sale in Bangalore",2018,,,,
RupeeCircle,FinTech,Seed,520000.0,Mumbai,RupeeCircle is a new age finance company.,2018,,,," Lending, Peer to Peer"
Wooden Street,E-Commerce,Series A,13000.0,Jaipur,Woodenstreet.com ensures to fulfill customer’s unique furniture requirements by crafting one-of-a-kind furniture pieces.,2018,,,," Furniture, Home Decor, Interior Design, Internet"
The Ken,Media,Series A,19500.0,Bangalore,The Ken is India’s first subscriptions-only business news site,2018,,,,
SaffronStays,Undisclosed,Seed,26000.0,Mumbai,SaffronStays connects travellers to India's Incredible hosts.,2018,,,,
Foyr,Home Decor,Series A,54600.0,Pune,"Foyr.com is India's first online, automated interior designer",2018,,,, Interior Design
MEngage,HealthTech,Seed,2275.0,Jaipur,MEngage is a mass consumer engagement application for doctors on both android and IOS platforms.,2018,,,," Medical Device, Mobile Apps"
Inner Being Wellness,Undisclosed,Angel,455000.0,Hyderabad,"Inner Being Wellness manufactures beauty, wellness, and nutrition products.",2018,,,,
Wishberry,Crowdfunding,Series A,1300000.0,Mumbai,Wishberry is a rewards-based crowdfunding platform that enables users to raise funds for their creative and innovative ideas.,2018,,,," Finance, Financial Services"
McXtra,FinTech,Seed,16900.0,"Andheri, Maharashtra, India",McXtra is a digital insurance broking startup.,2018,,,," Financial Services, Insurance"
SmartVizX,Tech,Seed,18850.0,Noida,It is a Virtual Reality Solutions StartUp,2018,,,, Virtual Reality
ENLYFT DIGITAL SOLUTIONS PRIVATE LIMITED,Undisclosed,Seed,2600.0,Pune,Digital Marketing Agency,2018,,,,
Scale Labs,Undisclosed,Seed,13000.0,Delhi,Scale Labs is a cross border e-commerce solutions provider that drives global trade for brands.,2018,,,,
HungerBox,B2B,Series A,58500.0,Bangalore,HungerBox is a full stack B2B F&B technology company delivering food solutions for the corporates in India.,2018,,,," Food and Beverage, Food Delivery"
Biryani By Kilo,Catering,Seed,13000.0,Noida,BBK delivers both authentic taste of Hyderabadi and Lucknowi Biryani prepared in individual earthen Handis with the freshest ingredients.,2018,,,," Food and Beverage, Food Delivery, Food Processing"
Wholesome Habits (EAT Anytime),Food and Beverages,Seed,6500.0,Mumbai,Wholesome Habits (EAT Anytime) is a healthy snacks Company.,2018,,,, Snack Food
